path_id,time,asset_id,value
0,0,0,100
0,0,1,50
0,0,2,75
0,0.01,0,101.081
0,0.01,1,49.7118
0,0.01,2,76.7547
0,0.02,0,102.089
0,0.02,1,49.9446
0,0.02,2,76.0407
0,0.03,0,101.134
0,0.03,1,47.0059
0,0.03,2,76.0947
0,0.04,0,101.979
0,0.04,1,47.1255
0,0.04,2,76.37
0,0.05,0,101.157
0,0.05,1,46.888
0,0.05,2,76.1669
0,0.06,0,100.132
0,0.06,1,45.616
0,0.06,2,76.6927
0,0.07,0,100.113
0,0.07,1,45.7976
0,0.07,2,76.5279
0,0.08,0,102.434
0,0.08,1,48.8894
0,0.08,2,75.2763
0,0.09,0,104.778
0,0.09,1,47.1751
0,0.09,2,75.5343
0,0.1,0,106.464
0,0.1,1,48.2215
0,0.1,2,76.6448
0,0.11,0,104.05
0,0.11,1,46.9378
0,0.11,2,75.9068
0,0.12,0,105.28
0,0.12,1,46.9433
0,0.12,2,74.8885
0,0.13,0,105.473
0,0.13,1,46.465
0,0.13,2,76.331
0,0.14,0,105.154
0,0.14,1,46.1721
0,0.14,2,77.0953
0,0.15,0,107.706
0,0.15,1,45.944
0,0.15,2,80.5319
0,0.16,0,109.452
0,0.16,1,48.4818
0,0.16,2,80.1049
0,0.17,0,109.695
0,0.17,1,49.1635
0,0.17,2,80.6429
0,0.18,0,106.437
0,0.18,1,47.4337
0,0.18,2,79.707
0,0.19,0,105.904
0,0.19,1,47.2221
0,0.19,2,78.8672
0,0.2,0,102.646
0,0.2,1,46.9842
0,0.2,2,79.102
0,0.21,0,103.054
0,0.21,1,47.9967
0,0.21,2,79.0313
0,0.22,0,104.471
0,0.22,1,49.9644
0,0.22,2,78.402
0,0.23,0,102.915
0,0.23,1,49.1085
0,0.23,2,79.6315
0,0.24,0,105.461
0,0.24,1,50.8547
0,0.24,2,77.9682
0,0.25,0,107.77
0,0.25,1,49.01
0,0.25,2,80.1386
0,0.26,0,105.811
0,0.26,1,48.7866
0,0.26,2,79.1147
0,0.27,0,105.27
0,0.27,1,46.8701
0,0.27,2,80.8142
0,0.28,0,105.196
0,0.28,1,47.5726
0,0.28,2,82.3783
0,0.29,0,103.086
0,0.29,1,47.2449
0,0.29,2,82.1822
0,0.3,0,100.213
0,0.3,1,47.0238
0,0.3,2,81.6555
0,0.31,0,100.986
0,0.31,1,48.1773
0,0.31,2,82.3143
0,0.32,0,98.0737
0,0.32,1,45.9599
0,0.32,2,82.4093
0,0.33,0,95.3791
0,0.33,1,44.5372
0,0.33,2,83.127
0,0.34,0,94.7704
0,0.34,1,43.346
0,0.34,2,83.2093
0,0.35,0,95.6915
0,0.35,1,43.3896
0,0.35,2,82.3991
0,0.36,0,93.1569
0,0.36,1,41.1376
0,0.36,2,82.9392
0,0.37,0,92.9177
0,0.37,1,43.1548
0,0.37,2,80.9296
0,0.38,0,91.2787
0,0.38,1,41.9633
0,0.38,2,80.5463
0,0.39,0,93.6314
0,0.39,1,40.512
0,0.39,2,82.0145
0,0.4,0,93.6492
0,0.4,1,39.425
0,0.4,2,83.504
0,0.41,0,94.5528
0,0.41,1,38.9503
0,0.41,2,84.4556
0,0.42,0,94.4783
0,0.42,1,38.6995
0,0.42,2,84.5182
0,0.43,0,96.5394
0,0.43,1,40.7905
0,0.43,2,85.5961
0,0.44,0,91.7631
0,0.44,1,40.5997
0,0.44,2,86.6446
0,0.45,0,90.5442
0,0.45,1,39.9864
0,0.45,2,85.9249
0,0.46,0,91.9074
0,0.46,1,40.4322
0,0.46,2,86.548
0,0.47,0,91.2375
0,0.47,1,41.5078
0,0.47,2,86.1667
0,0.48,0,90.4751
0,0.48,1,41.3526
0,0.48,2,88.1896
0,0.49,0,92.072
0,0.49,1,41.4702
0,0.49,2,87.6098
0,0.5,0,93.4405
0,0.5,1,43.1315
0,0.5,2,86.5504
0,0.51,0,88.8718
0,0.51,1,42.0478
0,0.51,2,86.7178
0,0.52,0,89.7729
0,0.52,1,43.1252
0,0.52,2,85.5209
0,0.53,0,90.5295
0,0.53,1,45.5139
0,0.53,2,83.9597
0,0.54,0,89.442
0,0.54,1,45.5699
0,0.54,2,83.6218
0,0.55,0,90.384
0,0.55,1,46.0236
0,0.55,2,83.9321
0,0.56,0,90.1636
0,0.56,1,44.6858
0,0.56,2,85.589
0,0.57,0,90.3994
0,0.57,1,44.9186
0,0.57,2,85.3259
0,0.58,0,92.1091
0,0.58,1,46.8617
0,0.58,2,85.6575
0,0.59,0,94.308
0,0.59,1,45.4686
0,0.59,2,85.8668
0,0.6,0,92.4966
0,0.6,1,43.8841
0,0.6,2,82.9118
0,0.61,0,91.8337
0,0.61,1,43.6613
0,0.61,2,81.6486
0,0.62,0,91.0301
0,0.62,1,44.4805
0,0.62,2,81.9354
0,0.63,0,87.641
0,0.63,1,43.7406
0,0.63,2,81.415
0,0.64,0,91.6696
0,0.64,1,43.5644
0,0.64,2,83.4092
0,0.65,0,92.4732
0,0.65,1,43.8565
0,0.65,2,84.4872
0,0.66,0,92.2589
0,0.66,1,42.268
0,0.66,2,86.6872
0,0.67,0,93.0327
0,0.67,1,43.4854
0,0.67,2,84.5402
0,0.68,0,93.0704
0,0.68,1,43.9654
0,0.68,2,85.9536
0,0.69,0,92.6644
0,0.69,1,41.8033
0,0.69,2,87.543
0,0.7,0,93.3172
0,0.7,1,42.4129
0,0.7,2,87.3032
0,0.71,0,96.2502
0,0.71,1,45.7656
0,0.71,2,85.7774
0,0.72,0,94.4705
0,0.72,1,43.0707
0,0.72,2,86.4746
0,0.73,0,91.4537
0,0.73,1,40.5564
0,0.73,2,88.441
0,0.74,0,89.4001
0,0.74,1,38.8084
0,0.74,2,87.812
0,0.75,0,88.6415
0,0.75,1,39.4681
0,0.75,2,86.354
0,0.76,0,89.428
0,0.76,1,40.2271
0,0.76,2,84.1918
0,0.77,0,88.5597
0,0.77,1,38.3298
0,0.77,2,85.2062
0,0.78,0,87.3057
0,0.78,1,37.8118
0,0.78,2,84.5058
0,0.79,0,90.8422
0,0.79,1,37.4436
0,0.79,2,87.2679
0,0.8,0,88.7072
0,0.8,1,36.9365
0,0.8,2,87.0641
0,0.81,0,85.4156
0,0.81,1,36.2644
0,0.81,2,85.8088
0,0.82,0,87.1092
0,0.82,1,36.6766
0,0.82,2,87.5194
0,0.83,0,84.9032
0,0.83,1,35.6387
0,0.83,2,87.9128
0,0.84,0,83.6458
0,0.84,1,33.4149
0,0.84,2,87.4594
0,0.85,0,85.0929
0,0.85,1,33.1182
0,0.85,2,87.4577
0,0.86,0,88.1669
0,0.86,1,33.7343
0,0.86,2,86.4035
0,0.87,0,89.23
0,0.87,1,34.2149
0,0.87,2,86.7232
0,0.88,0,93.0841
0,0.88,1,34.9263
0,0.88,2,89.4436
0,0.89,0,92.0269
0,0.89,1,34.7222
0,0.89,2,88.9523
0,0.9,0,90.8214
0,0.9,1,33.8509
0,0.9,2,88.8461
0,0.91,0,92.859
0,0.91,1,33.9519
0,0.91,2,88.9293
0,0.92,0,96.8299
0,0.92,1,35.5179
0,0.92,2,88.8226
0,0.93,0,97.0413
0,0.93,1,38.5321
0,0.93,2,88.6885
0,0.94,0,98.9775
0,0.94,1,40.0524
0,0.94,2,88.8003
0,0.95,0,101.071
0,0.95,1,41.3372
0,0.95,2,88.9632
0,0.96,0,99.0305
0,0.96,1,41.2305
0,0.96,2,88.9808
0,0.97,0,99.9651
0,0.97,1,42.7579
0,0.97,2,89.1078
0,0.98,0,97.726
0,0.98,1,41.2808
0,0.98,2,88.2403
0,0.99,0,97.5571
0,0.99,1,40.796
0,0.99,2,89.7706
0,1,0,94.5938
0,1,1,41.5481
0,1,2,87.0607
1,0,0,100
1,0,1,50
1,0,2,75
1,0.01,0,102.614
1,0.01,1,49.5401
1,0.01,2,74.2269
1,0.02,0,102.607
1,0.02,1,51.2659
1,0.02,2,72.5573
1,0.03,0,102.497
1,0.03,1,51.8439
1,0.03,2,73.6432
1,0.04,0,98.0036
1,0.04,1,52.4352
1,0.04,2,74.0997
1,0.05,0,98.8029
1,0.05,1,51.9401
1,0.05,2,73.0558
1,0.06,0,99.8248
1,0.06,1,53.8103
1,0.06,2,72.8144
1,0.07,0,97.6563
1,0.07,1,54.0253
1,0.07,2,72.954
1,0.08,0,96.0203
1,0.08,1,50.2055
1,0.08,2,74.5249
1,0.09,0,95.9214
1,0.09,1,46.9837
1,0.09,2,75.5104
1,0.1,0,94.8381
1,0.1,1,47.8069
1,0.1,2,74.4821
1,0.11,0,95.3932
1,0.11,1,48.1657
1,0.11,2,71.2631
1,0.12,0,92.8799
1,0.12,1,49.9164
1,0.12,2,70.9772
1,0.13,0,93.3895
1,0.13,1,49.6987
1,0.13,2,72.7612
1,0.14,0,94.0423
1,0.14,1,50.6209
1,0.14,2,73.4422
1,0.15,0,94.2026
1,0.15,1,50.7802
1,0.15,2,73.0842
1,0.16,0,91.5377
1,0.16,1,49.4161
1,0.16,2,73.7483
1,0.17,0,89.4303
1,0.17,1,48.6408
1,0.17,2,72.0903
1,0.18,0,90.2718
1,0.18,1,48.7681
1,0.18,2,72.5727
1,0.19,0,92.2478
1,0.19,1,47.3807
1,0.19,2,75.4541
1,0.2,0,91.9916
1,0.2,1,46.2195
1,0.2,2,77.3451
1,0.21,0,89.8814
1,0.21,1,44.4932
1,0.21,2,77.0974
1,0.22,0,87.0745
1,0.22,1,41.2565
1,0.22,2,79.2192
1,0.23,0,88.4561
1,0.23,1,42.6781
1,0.23,2,79.7108
1,0.24,0,89.4816
1,0.24,1,43.9118
1,0.24,2,78.3059
1,0.25,0,85.1253
1,0.25,1,41.7005
1,0.25,2,77.193
1,0.26,0,85.2656
1,0.26,1,41.4595
1,0.26,2,78.7421
1,0.27,0,85.9719
1,0.27,1,41.7839
1,0.27,2,78.7268
1,0.28,0,85.5551
1,0.28,1,40.4921
1,0.28,2,80.1297
1,0.29,0,83.9431
1,0.29,1,39.1988
1,0.29,2,79.582
1,0.3,0,86.3971
1,0.3,1,39.4633
1,0.3,2,80.1323
1,0.31,0,85.1661
1,0.31,1,38.7423
1,0.31,2,79.0691
1,0.32,0,85.9969
1,0.32,1,38.4802
1,0.32,2,78.1224
1,0.33,0,83.7388
1,0.33,1,36.9407
1,0.33,2,76.5833
1,0.34,0,83.2391
1,0.34,1,35.3586
1,0.34,2,79.039
1,0.35,0,82.6089
1,0.35,1,34.5791
1,0.35,2,77.5483
1,0.36,0,85.4336
1,0.36,1,36.4124
1,0.36,2,77.549
1,0.37,0,83.4775
1,0.37,1,35.5095
1,0.37,2,79.0015
1,0.38,0,83.339
1,0.38,1,36.8054
1,0.38,2,77.583
1,0.39,0,85.435
1,0.39,1,37.7626
1,0.39,2,77.267
1,0.4,0,85.8513
1,0.4,1,38.1377
1,0.4,2,78.8616
1,0.41,0,87.2809
1,0.41,1,38.7951
1,0.41,2,79.8163
1,0.42,0,88.9377
1,0.42,1,38.7216
1,0.42,2,79.0165
1,0.43,0,87.5964
1,0.43,1,37.6396
1,0.43,2,78.5277
1,0.44,0,86.1123
1,0.44,1,37.6608
1,0.44,2,78.4188
1,0.45,0,85.4217
1,0.45,1,37.4487
1,0.45,2,78.2499
1,0.46,0,87.6434
1,0.46,1,37.6412
1,0.46,2,79.8318
1,0.47,0,90.0397
1,0.47,1,38.8336
1,0.47,2,79.2706
1,0.48,0,85.3869
1,0.48,1,38.5687
1,0.48,2,78.6179
1,0.49,0,85.5142
1,0.49,1,38.8318
1,0.49,2,79.8408
1,0.5,0,88.3115
1,0.5,1,39.9184
1,0.5,2,79.2872
1,0.51,0,91.3911
1,0.51,1,41.3529
1,0.51,2,79.4155
1,0.52,0,93.0198
1,0.52,1,39.8992
1,0.52,2,80.9087
1,0.53,0,94.2677
1,0.53,1,41.3217
1,0.53,2,80.3957
1,0.54,0,96.6001
1,0.54,1,41.5893
1,0.54,2,81.1137
1,0.55,0,95.4849
1,0.55,1,40.0064
1,0.55,2,82.5982
1,0.56,0,92.0583
1,0.56,1,41.0589
1,0.56,2,78.6809
1,0.57,0,94.8659
1,0.57,1,40.1336
1,0.57,2,80.5923
1,0.58,0,93.1905
1,0.58,1,41.3643
1,0.58,2,78.6764
1,0.59,0,95.2382
1,0.59,1,42.1105
1,0.59,2,79.2895
1,0.6,0,95.4307
1,0.6,1,41.6138
1,0.6,2,80.255
1,0.61,0,92.9941
1,0.61,1,39.4504
1,0.61,2,80.1693
1,0.62,0,93.1352
1,0.62,1,40.0378
1,0.62,2,77.6909
1,0.63,0,91.0204
1,0.63,1,38.1055
1,0.63,2,77.1932
1,0.64,0,90.9901
1,0.64,1,40.0659
1,0.64,2,76.2739
1,0.65,0,89.1074
1,0.65,1,39.0666
1,0.65,2,75.4882
1,0.66,0,89.4754
1,0.66,1,39.5246
1,0.66,2,75.4101
1,0.67,0,89.6214
1,0.67,1,39.5536
1,0.67,2,77.025
1,0.68,0,90.0105
1,0.68,1,39.8301
1,0.68,2,76.772
1,0.69,0,90.9035
1,0.69,1,41.0405
1,0.69,2,77.3399
1,0.7,0,90.2977
1,0.7,1,40.611
1,0.7,2,76.5281
1,0.71,0,91.3834
1,0.71,1,40.1809
1,0.71,2,77.3137
1,0.72,0,93.6033
1,0.72,1,40.0166
1,0.72,2,78.1569
1,0.73,0,91.4162
1,0.73,1,38.6019
1,0.73,2,77.8849
1,0.74,0,87.4822
1,0.74,1,39.5516
1,0.74,2,75.9262
1,0.75,0,88.4981
1,0.75,1,41.5188
1,0.75,2,76.6223
1,0.76,0,92.2318
1,0.76,1,44.0017
1,0.76,2,74.564
1,0.77,0,91.7442
1,0.77,1,44.6592
1,0.77,2,74.7295
1,0.78,0,89.1933
1,0.78,1,43.722
1,0.78,2,72.4319
1,0.79,0,86.9923
1,0.79,1,42.2304
1,0.79,2,72.451
1,0.8,0,89.1041
1,0.8,1,44.0133
1,0.8,2,72.4388
1,0.81,0,89.9531
1,0.81,1,44.3365
1,0.81,2,73.0952
1,0.82,0,91.4659
1,0.82,1,46.9685
1,0.82,2,72.6639
1,0.83,0,91.3547
1,0.83,1,48.4612
1,0.83,2,72.6433
1,0.84,0,89.7383
1,0.84,1,49.9905
1,0.84,2,71.8099
1,0.85,0,91.1547
1,0.85,1,51.886
1,0.85,2,70.6898
1,0.86,0,91.2239
1,0.86,1,52.5804
1,0.86,2,70.2988
1,0.87,0,93.535
1,0.87,1,51.2391
1,0.87,2,69.652
1,0.88,0,97.4486
1,0.88,1,53.1745
1,0.88,2,68.7298
1,0.89,0,98.0058
1,0.89,1,52.6203
1,0.89,2,68.1696
1,0.9,0,97.9143
1,0.9,1,53.2409
1,0.9,2,69.0944
1,0.91,0,100.911
1,0.91,1,53.7111
1,0.91,2,68.5829
1,0.92,0,99.9349
1,0.92,1,53.8373
1,0.92,2,68.4942
1,0.93,0,101.377
1,0.93,1,55.1867
1,0.93,2,68.8276
1,0.94,0,102.474
1,0.94,1,54.6821
1,0.94,2,68.7676
1,0.95,0,103.024
1,0.95,1,55.9802
1,0.95,2,66.963
1,0.96,0,104.766
1,0.96,1,59.4873
1,0.96,2,65.8285
1,0.97,0,105.437
1,0.97,1,60.6526
1,0.97,2,67.5389
1,0.98,0,106.983
1,0.98,1,58.8562
1,0.98,2,70.1908
1,0.99,0,103.584
1,0.99,1,55.6279
1,0.99,2,70.5107
1,1,0,102.088
1,1,1,52.837
1,1,2,71.3427
2,0,0,100
2,0,1,50
2,0,2,75
2,0.01,0,98.5204
2,0.01,1,47.0406
2,0.01,2,76.8807
2,0.02,0,100.375
2,0.02,1,47.6852
2,0.02,2,78.8321
2,0.03,0,102.452
2,0.03,1,49.4717
2,0.03,2,79.0386
2,0.04,0,101.486
2,0.04,1,47.974
2,0.04,2,80.1171
2,0.05,0,101.458
2,0.05,1,50.0312
2,0.05,2,78.2366
2,0.06,0,101.685
2,0.06,1,47.2814
2,0.06,2,78.6807
2,0.07,0,106.832
2,0.07,1,49.1641
2,0.07,2,82.3009
2,0.08,0,104.709
2,0.08,1,47.8473
2,0.08,2,83.8528
2,0.09,0,104.478
2,0.09,1,47.8225
2,0.09,2,84.39
2,0.1,0,108.095
2,0.1,1,49.5297
2,0.1,2,85.9307
2,0.11,0,108.855
2,0.11,1,49.6677
2,0.11,2,84.4899
2,0.12,0,108.024
2,0.12,1,47.4672
2,0.12,2,86.1819
2,0.13,0,107.127
2,0.13,1,46.8604
2,0.13,2,88.0024
2,0.14,0,108.559
2,0.14,1,48.1688
2,0.14,2,89.1631
2,0.15,0,108.215
2,0.15,1,47.2865
2,0.15,2,88.9864
2,0.16,0,107.557
2,0.16,1,46.5636
2,0.16,2,88.7255
2,0.17,0,109.658
2,0.17,1,46.6929
2,0.17,2,88.4576
2,0.18,0,107.4
2,0.18,1,47.7088
2,0.18,2,85.5214
2,0.19,0,108.873
2,0.19,1,47.2325
2,0.19,2,87.6504
2,0.2,0,109.962
2,0.2,1,46.4443
2,0.2,2,88.1385
2,0.21,0,103.893
2,0.21,1,42.6642
2,0.21,2,89.2646
2,0.22,0,104.28
2,0.22,1,41.106
2,0.22,2,90.8264
2,0.23,0,102.876
2,0.23,1,41.8178
2,0.23,2,89.1613
2,0.24,0,101.062
2,0.24,1,39.6693
2,0.24,2,89.9532
2,0.25,0,101.98
2,0.25,1,39.9184
2,0.25,2,90.3243
2,0.26,0,104.29
2,0.26,1,40.7678
2,0.26,2,88.99
2,0.27,0,102.01
2,0.27,1,38.9938
2,0.27,2,87.1674
2,0.28,0,99.281
2,0.28,1,39.3716
2,0.28,2,85.5146
2,0.29,0,98.1918
2,0.29,1,41.3725
2,0.29,2,83.6189
2,0.3,0,100.374
2,0.3,1,42.833
2,0.3,2,81.7213
2,0.31,0,104.074
2,0.31,1,44.2967
2,0.31,2,85.0202
2,0.32,0,100.931
2,0.32,1,43.2918
2,0.32,2,86.4189
2,0.33,0,99.5368
2,0.33,1,42.5257
2,0.33,2,86.232
2,0.34,0,99.805
2,0.34,1,42.3045
2,0.34,2,87.0364
2,0.35,0,100.104
2,0.35,1,43.9729
2,0.35,2,87.3974
2,0.36,0,99.6404
2,0.36,1,44.2282
2,0.36,2,85.3118
2,0.37,0,96.8786
2,0.37,1,43.357
2,0.37,2,86.0784
2,0.38,0,93.6167
2,0.38,1,42.4749
2,0.38,2,86.6343
2,0.39,0,94.4892
2,0.39,1,44.6842
2,0.39,2,86.2166
2,0.4,0,96.8983
2,0.4,1,44.3299
2,0.4,2,86.8892
2,0.41,0,96.4484
2,0.41,1,43.4994
2,0.41,2,88.0786
2,0.42,0,99.1261
2,0.42,1,45.4069
2,0.42,2,88.3114
2,0.43,0,99.695
2,0.43,1,46.2438
2,0.43,2,89.3885
2,0.44,0,96.7567
2,0.44,1,46.5491
2,0.44,2,87.8081
2,0.45,0,95.5084
2,0.45,1,47.5518
2,0.45,2,86.526
2,0.46,0,97.3703
2,0.46,1,48.5854
2,0.46,2,86.246
2,0.47,0,97.4941
2,0.47,1,49.0114
2,0.47,2,85.9761
2,0.48,0,94.9411
2,0.48,1,44.5247
2,0.48,2,89.8552
2,0.49,0,96.9959
2,0.49,1,46.2724
2,0.49,2,89.0789
2,0.5,0,94.4093
